numeActiune,timestamp
Adaugare client,28/04/2021 18:10:55
Adaugare client,28/04/2021 18:21:31
Afisare clienti,28/04/2021 18:22:15
Modificare client,28/04/2021 18:23:41
Stergere client,28/04/2021 18:24:00
Statistica COVID,28/04/2021 18:24:12
Afisarea mediei de experienta a Medicilor,28/04/2021 18:24:23
Afisarea celui mai vechi medic,28/04/2021 18:24:30
Adaugare programare,28/04/2021 18:25:35
Afisarea programarilor,28/04/2021 18:25:43
Afisarea valori medii a echipamentelor,28/04/2021 18:26:01
Adaugare client,24/05/2021 12:39:04
Adaugare client,24/05/2021 12:40:10
Adaugare client,24/05/2021 12:42:03
Modificare client,24/05/2021 13:57:31
Modificare client,24/05/2021 14:02:36
Modificare client,24/05/2021 14:21:06
